CHR,POS,p_value,effect_size
1,7007756,1.3243224871740573e-07,-0.0369138604038089
1,11416451,1.8163542153655448e-06,-0.0563616998439332
1,17021610,1.5828604054877206e-07,-1.729446031841104
1,17660752,1.6358423561461165e-08,-0.9578894777415566
1,17661095,6.6941936978033e-08,-0.1257718848349805
1,29467437,1.4338412921907876e-06,-0.1160989280651521
2,5315038,3.2413940420207924e-07,-0.1455283950837778
2,8253416,1.3580743043479623e-06,-2.6553087473592014
2,11123430,8.190851692114382e-07,-3.975219968049482
2,18280623,6.974349595879687e-07,-0.0102829355483945
3,16886226,2.326564481435925e-08,-0.0864587305702702
4,816210,1.2938987329602665e-06,-5.68388687594159
5,3599001,3.825789239380291e-07,-3.537498984445594
5,3638431,1.211713645181889e-07,-0.4491524673906978
