CHR,POS,p_value,effect_size
1,5137014,1.5945374005335224e-08,-0.0099663649616922
2,8810739,3.204223939725177e-08,-0.0305206488232018
2,18807538,3.624965703045587e-07,-0.0019908655995192
3,337965,1.0936585486096524e-06,-0.0385385156523473
3,865183,8.751673080727717e-07,0.04066166915949
3,4240172,1.6289170101899436e-08,-0.0190648212084852
3,4477289,5.8294801266230376e-08,-0.1551494867332649
3,5772106,9.086455696431304e-07,-0.0644149676741332
3,19452254,1.1083487013296989e-06,-0.0293697575163517
4,8751387,9.693666166481336e-09,-0.0172745692701542
4,10913613,9.335807531954906e-10,-0.0009479716489847
5,1079037,6.772519804633183e-07,-0.0657417517230008
5,7639318,4.579465687687204e-08,-0.0081965899913658
5,25318752,4.450430372489383e-08,-0.0189754421578747
