CHR,POS,p_value,effect_size
1,3076582,1.0053481995765802e-09,-0.0313674167893362
1,8432179,1.3583668784070908e-07,-0.0130226909104553
1,12877107,1.721139850589628e-11,-0.1540849987713104
1,30415837,1.662883691963952e-06,0.0288455706263442
2,8810739,1.368520329335722e-12,-0.0983969951456534
2,18807538,2.568836633268005e-11,-0.005654803305026
3,602433,7.757288412845394e-07,0.0143435856991441
3,1653264,1.3964289974993966e-06,-0.0401283551188288
3,3137362,8.373899897837966e-07,-0.1163517375762607
3,6616352,1.0614986685209805e-06,-0.0391910329380736
3,19452254,1.3328751816064349e-08,-0.0901476435010289
3,21177423,3.135333891239673e-07,-0.0409058992706261
3,21444321,3.2784408772524057e-07,-0.1625246751620278
4,12670965,9.457659380830993e-09,-0.0291012202314274
4,16152926,2.126278160355149e-07,-0.0123661898220653
5,1892714,1.2059012805425675e-06,-0.3035315153351994
5,3173497,3.708757400773494e-11,0.0023233212744965
5,8172316,3.055132017817987e-07,-0.0045352056904698
5,9036018,2.6692099959705175e-07,0.0127314102226836
5,22369095,1.46417728121742e-10,-0.0173392399224754
5,22838672,1.9925688874193118e-07,0.0138497225848145
5,24502482,7.053191097468384e-07,-0.0587211851592574
5,25318752,5.194522135254889e-21,-0.0937070523471596
