CHR,POS,p_value,effect_size
2,9753631,4.277633032511029e-07,-0.0001388565407971
3,4477289,1.926666514923207e-06,-0.0082256688737193
3,7638663,4.911342064757744e-07,0.0001251364722071
4,10913613,2.7641352276239502e-06,-4.393850874129396e-05
4,11306945,1.7992152095209293e-07,0.0001219535687323
5,3201518,2.829492788050423e-07,-0.0011916183444274
5,3243956,8.766891270356469e-07,-0.0017739428754936
5,7810683,1.5836071982681071e-06,-0.000104289329515
5,8535282,2.419647203813345e-10,-0.0008365684434467
5,8739709,1.8247205836048788e-06,-0.0002743594185834
